iter	Passed	Remaining
0	1	177
1	2	139
2	4	138
3	5	127
4	6	124
5	7	121
6	8	116
7	10	115
8	11	112
9	12	108
10	13	107
11	14	104
12	15	101
13	16	99
14	17	98
15	18	95
16	19	93
17	20	92
18	21	89
19	21	87
20	23	86
21	24	87
22	25	85
23	26	84
24	27	82
25	28	81
26	29	79
27	30	77
28	31	76
29	32	74
30	33	73
31	34	72
32	35	71
33	36	69
34	36	68
35	37	67
36	38	65
37	41	67
38	41	65
39	42	64
40	43	63
41	44	61
42	46	60
43	46	59
44	47	58
45	48	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	49
54	59	48
55	60	47
56	61	46
57	62	44
58	63	43
59	64	42
60	65	41
61	66	40
62	66	39
63	67	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	16
85	91	14
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
