iter	Passed	Remaining
0	123	123866
1	125	62728
2	127	42312
3	128	32030
4	130	25875
5	131	21835
6	133	18905
7	134	16682
8	137	15090
9	138	13720
10	139	12586
11	140	11606
12	142	10792
13	143	10091
14	144	9483
15	145	8939
16	146	8447
17	146	8009
18	147	7627
19	148	7288
20	149	6975
21	151	6744
22	152	6486
23	153	6240
24	154	6017
25	155	5808
26	156	5625
27	157	5461
28	158	5299
29	159	5156
30	160	5016
31	161	4875
32	161	4741
33	162	4623
34	163	4515
35	164	4414
36	165	4317
37	166	4218
38	167	4137
39	169	4061
40	170	3976
41	171	3905
42	172	3828
43	172	3753
44	173	3683
45	174	3620
46	175	3560
47	176	3498
48	177	3442
49	178	3396
50	179	3346
51	180	3296
52	181	3248
53	182	3201
54	183	3159
55	184	3113
56	185	3069
57	186	3034
58	187	2991
59	188	2952
60	189	2924
61	194	2942
62	195	2911
63	197	2886
64	198	2857
65	199	2824
66	200	2790
67	201	2757
68	202	2730
69	203	2708
70	205	2685
71	206	2657
72	207	2630
73	207	2600
74	209	2577
75	210	2554
76	211	2532
77	212	2510
78	213	2489
79	214	2466
80	216	2451
81	217	2433
82	217	2407
83	218	2387
84	220	2368
85	220	2348
86	222	2332
87	223	2315
88	224	2296
89	225	2278
90	226	2260
91	227	2243
92	228	2229
93	229	2213
94	230	2196
95	231	2180
96	232	2164
97	233	2148
98	234	2134
99	235	2121
100	236	2106
101	237	2092
102	238	2078
103	239	2064
104	240	2051
105	241	2039
106	242	2026
107	243	2013
108	244	2000
109	245	1987
110	246	1975
111	248	1968
112	249	1956
113	250	1943
114	251	1931
115	252	1920
116	252	1907
117	253	1896
118	254	1885
119	255	1873
120	256	1863
121	257	1851
122	258	1840
123	259	1830
124	260	1822
125	261	1812
126	262	1802
127	263	1792
128	264	1785
129	265	1777
130	266	1768
131	267	1759
132	268	1749
133	269	1739
134	270	1730
135	270	1721
136	271	1713
137	273	1706
138	274	1697
139	275	1689
140	276	1681
141	276	1671
142	277	1663
143	278	1656
144	279	1649
145	280	1641
146	281	1633
147	282	1625
148	283	1617
149	284	1610
150	285	1602
151	286	1596
152	287	1589
153	287	1581
154	288	1574
155	289	1566
156	290	1559
157	292	1556
158	293	1550
159	294	1545
160	295	1537
161	296	1531
162	296	1525
163	298	1521
164	299	1517
165	300	1511
166	301	1505
167	302	1499
168	303	1493
169	304	1488
170	305	1483
171	306	1477
172	307	1472
173	308	1466
174	309	1460
175	311	1458
176	312	1452
177	313	1447
178	314	1441
179	315	1436
180	316	1431
181	317	1426
182	318	1421
183	319	1416
184	320	1411
185	321	1407
186	322	1401
187	323	1397
188	324	1391
189	325	1387
190	326	1382
191	327	1377
192	328	1372
193	329	1368
194	330	1364
195	331	1360
196	332	1355
197	333	1351
198	334	1346
199	335	1342
200	337	1340
201	338	1335
202	339	1333
203	340	1329
204	341	1325
205	342	1321
206	344	1319
207	345	1314
208	346	1310
209	347	1306
210	349	1305
211	350	1302
212	351	1298
213	352	1294
214	353	1290
215	354	1287
216	355	1283
217	357	1280
218	358	1277
219	358	1272
220	359	1268
221	361	1265
222	362	1262
223	363	1259
224	364	1255
225	365	1251
226	366	1247
227	368	1247
228	369	1244
229	370	1241
230	371	1237
231	372	1233
232	373	1229
233	374	1225
234	375	1222
235	376	1219
236	377	1216
237	378	1213
238	380	1210
239	381	1209
240	382	1205
241	383	1201
242	385	1199
243	386	1197
244	387	1195
245	389	1192
246	390	1190
247	391	1187
248	392	1184
249	393	1181
250	395	1179
251	396	1175
252	397	1172
253	398	1169
254	399	1166
255	400	1164
256	402	1162
257	403	1159
258	404	1156
259	405	1153
260	406	1150
261	407	1147
262	408	1144
263	409	1141
264	410	1138
265	411	1136
266	413	1134
267	414	1131
268	415	1128
269	416	1125
270	417	1123
271	419	1121
272	419	1118
273	421	1115
274	422	1113
275	423	1110
276	424	1108
277	426	1106
278	427	1104
279	428	1101
280	429	1099
281	430	1096
282	431	1093
283	432	1090
284	433	1088
285	435	1086
286	436	1083
287	437	1081
288	438	1079
289	440	1077
290	441	1074
291	442	1072
292	443	1070
293	445	1068
294	446	1066
295	447	1064
296	448	1061
297	449	1059
298	451	1058
299	452	1056
300	453	1053
301	455	1051
302	456	1049
303	457	1047
304	458	1045
305	460	1043
306	461	1041
307	462	1038
308	463	1037
309	464	1034
310	465	1032
311	467	1030
312	468	1027
313	469	1025
314	470	1023
315	471	1020
316	472	1018
317	473	1016
318	475	1014
319	476	1012
320	477	1010
321	478	1008
322	479	1005
323	480	1002
324	481	1000
325	483	999
326	484	997
327	485	995
328	486	993
329	488	991
330	489	989
331	490	986
332	491	985
333	493	983
334	494	981
335	495	979
336	496	977
337	497	975
338	498	972
339	500	970
340	501	969
